windowSizeObjectUse,thresholdMinDistanceRFID,thresholdMaxDistanceRFID,windowSizeHAR,cohenKappa
7500,30,200,6000,0.16180442509537618
7500,30,225,6000,0.16180442509537618
7500,30,250,6000,0.16180442509537618
5500,20,150,7500,0.1617826144156847
5500,20,175,7500,0.1617826144156847
5500,20,200,7500,0.1617826144156847
5500,20,225,7500,0.1617826144156847
5500,20,250,7500,0.1617826144156847
8500,35,175,8000,0.16172355698385152
8500,35,200,8000,0.16172355698385152
8500,35,225,8000,0.16172355698385152
8500,35,250,8000,0.16172355698385152
9000,35,175,6000,0.1616794879178678
9000,35,175,7500,0.1616419565173913
8000,20,150,6000,0.16153379836565118
7500,30,150,8500,0.16135642745272621
7500,30,175,8500,0.16135642745272621
7500,30,200,8500,0.16135642745272621
7500,30,225,8500,0.16135642745272621
7500,30,250,8500,0.16135642745272621
5500,20,150,7000,0.16121529635549495
5500,20,175,7000,0.16121529635549495
5500,20,200,7000,0.16121529635549495
5500,20,225,7000,0.16121529635549495
5500,20,250,7000,0.16121529635549495
9000,35,175,8000,0.16119745418724718
8000,20,150,6500,0.16109899391861393
8000,35,175,7000,0.16102346116698935
8000,35,200,7000,0.16102346116698935
8000,35,225,7000,0.16102346116698935
8000,35,250,7000,0.16102346116698935
8000,35,175,7500,0.1609120109543549
8000,35,200,7500,0.1609120109543549
8000,35,225,7500,0.1609120109543549
8000,35,250,7500,0.1609120109543549
5500,20,150,8500,0.16085733535455615
5500,20,175,8500,0.16085733535455615
5500,20,200,8500,0.16085733535455615
5500,20,225,8500,0.16085733535455615
5500,20,250,8500,0.16085733535455615
5500,20,150,6500,0.16083665749017384
5500,20,175,6500,0.16083665749017384
5500,20,200,6500,0.16083665749017384
5500,20,225,6500,0.16083665749017384
5500,20,250,6500,0.16083665749017384
8000,20,150,7000,0.16080958395035325
8500,35,175,8500,0.16075919911206762
8500,35,200,8500,0.16075919911206762
8500,35,225,8500,0.16075919911206762
8500,35,250,8500,0.16075919911206762
8000,35,175,6500,0.1606499874533276
8000,35,200,6500,0.1606499874533276
8000,35,225,6500,0.1606499874533276
8000,35,250,6500,0.1606499874533276
8000,35,175,8000,0.1606143294909415
8000,35,200,8000,0.1606143294909415
8000,35,225,8000,0.1606143294909415
8000,35,250,8000,0.1606143294909415
8000,20,150,7500,0.1603761567448768
6000,25,150,8000,0.1602709213230324
6000,25,175,8000,0.1602709213230324
6000,25,200,8000,0.1602709213230324
6000,25,225,8000,0.1602709213230324
6000,25,250,8000,0.1602709213230324
5500,20,150,6000,0.16026805779756878
5500,20,175,6000,0.16026805779756878
5500,20,200,6000,0.16026805779756878
5500,20,225,6000,0.16026805779756878
5500,20,250,6000,0.16026805779756878
9000,35,175,8500,0.16023578548111617
6000,25,150,7500,0.16022945809093392
6000,25,175,7500,0.16022945809093392
6000,25,200,7500,0.16022945809093392
6000,25,225,7500,0.16022945809093392
6000,25,250,7500,0.16022945809093392
8000,35,175,6000,0.16008915301640034
8000,35,200,6000,0.16008915301640034
8000,35,225,6000,0.16008915301640034
8000,35,250,6000,0.16008915301640034
8000,20,150,8000,0.16008766275622016
7000,30,150,7500,0.15999383827174934
7000,30,175,7500,0.15999383827174934
